Well,Sample ID,ng/ul,Size (bp),% (Conc.) (ng/uL),nmole/L,RFU,TIC (ng/ul),TIM (nmole/L),Total Conc. (ng/ul),DQN,Threshold
B5,SampB5,6.1884,62,19.2,163.6431,14717,32.3048,278.5214,32.5295,N/A (Size threshold is less than lower marker end point),0
B5,SampB5,0.0497,84,0.2,0.9952,53,32.3048,278.5214,32.5295,N/A (Size threshold is less than lower marker end point),0
B5,SampB5,0.3728,90,1.2,6.5805,438,32.3048,278.5214,32.5295,N/A (Size threshold is less than lower marker end point),0
B5,SampB5,0.0712,114,0.2,1.0265,135,32.3048,278.5214,32.5295,N/A (Size threshold is less than lower marker end point),0
B5,SampB5,24.1277,413,74.7,97.0605,39532,32.3048,278.5214,32.5295,N/A (Size threshold is less than lower marker end point),0
B5,SampB5,0.9429,434,2.9,3.5261,705,32.3048,278.5214,32.5295,N/A (Size threshold is less than lower marker end point),0
B5,SampB5,0.4187,459,1.3,1.4848,329,32.3048,278.5214,32.5295,N/A (Size threshold is less than lower marker end point),0
B5,SampB5,0.5000,5000,,0.1651,20810,32.3048,278.5214,32.5295,N/A (Size threshold is less than lower marker end point),0
B6,SampB6,0.1125,35,,5.2510,1711,9.2131,216.7472,9.4964,N/A (Size threshold is less than lower marker end point),0
B6,SampB6,0.8789,49,9.5,29.3738,750,9.2131,216.7472,9.4964,N/A (Size threshold is less than lower marker end point),0
B6,SampB6,6.7918,63,73.7,176.7580,14252,9.2131,216.7472,9.4964,N/A (Size threshold is less than lower marker end point),0
B6,SampB6,0.1085,90,1.2,1.9792,64,9.2131,216.7472,9.4964,N/A (Size threshold is less than lower marker end point),0
B6,SampB6,0.0629,102,0.7,1.0234,113,9.2131,216.7472,9.4964,N/A (Size threshold is less than lower marker end point),0
B6,SampB6,0.2078,131,2.3,2.6473,188,9.2131,216.7472,9.4964,N/A (Size threshold is less than lower marker end point),0
B6,SampB6,0.0837,139,0.9,0.9822,73,9.2131,216.7472,9.4964,N/A (Size threshold is less than lower marker end point),0
B6,SampB6,0.0660,415,0.7,0.2637,68,9.2131,216.7472,9.4964,N/A (Size threshold is less than lower marker end point),0
B6,SampB6,0.8301,452,9.0,3.0693,1064,9.2131,216.7472,9.4964,N/A (Size threshold is less than lower marker end point),0
B6,SampB6,0.1834,464,2.0,0.6504,278,9.2131,216.7472,9.4964,N/A (Size threshold is less than lower marker end point),0
B6,SampB6,0.5000,5000,,0.1648,18873,9.2131,216.7472,9.4964,N/A (Size threshold is less than lower marker end point),0
B7,SampB7,0.0445,35,,2.0760,656,8.9564,231.8299,9.2636,N/A (Size threshold is less than lower marker end point),0
B7,SampB7,0.5439,51,6.1,18.1770,417,8.9564,231.8299,9.2636,N/A (Size threshold is less than lower marker end point),0
B7,SampB7,7.3597,62,82.2,194.6154,14477,8.9564,231.8299,9.2636,N/A (Size threshold is less than lower marker end point),0
B7,SampB7,0.4437,70,5.0,10.3973,620,8.9564,231.8299,9.2636,N/A (Size threshold is less than lower marker end point),0
B7,SampB7,0.4688,94,5.2,8.1024,487,8.9564,231.8299,9.2636,N/A (Size threshold is less than lower marker end point),0
B7,SampB7,0.0640,420,0.7,0.2512,92,8.9564,231.8299,9.2636,N/A (Size threshold is less than lower marker end point),0
B7,SampB7,0.0763,434,0.9,0.2866,61,8.9564,231.8299,9.2636,N/A (Size threshold is less than lower marker end point),0
B7,SampB7,0.5000,5000,,0.1650,18469,8.9564,231.8299,9.2636,N/A (Size threshold is less than lower marker end point),0
B8,SampB8,0.0263,35,,1.2274,585,36.8936,284.6777,37.1015,N/A (Size threshold is less than lower marker end point),0
B8,SampB8,6.4624,63,17.5,170.8868,15416,36.8936,284.6777,37.1015,N/A (Size threshold is less than lower marker end point),0
B8,SampB8,0.2313,90,0.6,4.2196,137,36.8936,284.6777,37.1015,N/A (Size threshold is less than lower marker end point),0
B8,SampB8,0.0823,102,0.2,1.3115,106,36.8936,284.6777,37.1015,N/A (Size threshold is less than lower marker end point),0
B8,SampB8,27.0925,448,73.4,99.9507,34235,36.8936,284.6777,37.1015,N/A (Size threshold is less than lower marker end point),0
